State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
AK,2017,August,12 month-ending,Number of Drug Overdose Deaths,137,100,0.047236656,Alaska,138
AK,2017,December,12 month-ending,Number of Drug Overdose Deaths,141,100,0,Alaska,141
AK,2017,February,12 month-ending,Number of Drug Overdose Deaths,124,100,0.069013112,Alaska,125
AK,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0.068587106,Alaska,127
AK,2017,July,12 month-ending,Number of Drug Overdose Deaths,128,100,0.07082153,Alaska,129
AK,2017,June,12 month-ending,Number of Drug Overdose Deaths,122,100,0.070159027,Alaska,123
AK,2017,March,12 month-ending,Number of Drug Overdose Deaths,126,100,0.068823125,Alaska,127
AK,2017,May,12 month-ending,Number of Drug Overdose Deaths,120,100,0.070142623,Alaska,121
AK,2017,November,12 month-ending,Number of Drug Overdose Deaths,138,100,0,Alaska,138
AK,2017,October,12 month-ending,Number of Drug Overdose Deaths,144,100,0,Alaska,144
AK,2017,September,12 month-ending,Number of Drug Overdose Deaths,148,100,0.023261224,Alaska,148
AK,2018,April,12 month-ending,Number of Drug Overdose Deaths,142,100,0,Alaska,142
AK,2018,August,12 month-ending,Number of Drug Overdose Deaths,110,100,0,Alaska,110
AK,2018,December,12 month-ending,Number of Drug Overdose Deaths,105,100,0,Alaska,105
AK,2018,February,12 month-ending,Number of Drug Overdose Deaths,139,100,0,Alaska,139
AK,2018,January,12 month-ending,Number of Drug Overdose Deaths,138,100,0,Alaska,138
AK,2018,July,12 month-ending,Number of Drug Overdose Deaths,116,100,0,Alaska,116
AK,2018,June,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2018,March,12 month-ending,Number of Drug Overdose Deaths,136,100,0,Alaska,136
AK,2018,May,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,126
AK,2018,November,12 month-ending,Number of Drug Overdose Deaths,106,100,0,Alaska,106
AK,2018,October,12 month-ending,Number of Drug Overdose Deaths,99,100,0,Alaska,99
AK,2018,September,12 month-ending,Number of Drug Overdose Deaths,100,100,0,Alaska,100
AK,2019,April,12 month-ending,Number of Drug Overdose Deaths,119,100,0,Alaska,119
AK,2019,August,12 month-ending,Number of Drug Overdose Deaths,130,100,0,Alaska,130
AK,2019,December,12 month-ending,Number of Drug Overdose Deaths,133,100,0,Alaska,133
AK,2019,February,12 month-ending,Number of Drug Overdose Deaths,115,100,0,Alaska,115
AK,2019,January,12 month-ending,Number of Drug Overdose Deaths,107,100,0,Alaska,107
AK,2019,July,12 month-ending,Number of Drug Overdose Deaths,135,100,0,Alaska,135
AK,2019,June,12 month-ending,Number of Drug Overdose Deaths,132,100,0,Alaska,132
AK,2019,March,12 month-ending,Number of Drug Overdose Deaths,124,100,0,Alaska,124
AK,2019,May,12 month-ending,Number of Drug Overdose Deaths,128,100,0,Alaska,128
AK,2019,November,12 month-ending,Number of Drug Overdose Deaths,139,100,0,Alaska,139
AK,2019,October,12 month-ending,Number of Drug Overdose Deaths,146,100,0,Alaska,146
AK,2019,September,12 month-ending,Number of Drug Overdose Deaths,136,100,0,Alaska,136
AK,2020,April,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,120
AK,2020,August,12 month-ending,Number of Drug Overdose Deaths,139,100,0,Alaska,139
AK,2020,December,12 month-ending,Number of Drug Overdose Deaths,146,100,0,Alaska,146
AK,2020,February,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2020,January,12 month-ending,Number of Drug Overdose Deaths,134,100,0,Alaska,134
AK,2020,July,12 month-ending,Number of Drug Overdose Deaths,135,100,0,Alaska,135
AK,2020,June,12 month-ending,Number of Drug Overdose Deaths,132,100,0,Alaska,132
AK,2020,March,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,117
AK,2020,May,12 month-ending,Number of Drug Overdose Deaths,128,100,0,Alaska,128
AK,2020,November,12 month-ending,Number of Drug Overdose Deaths,141,100,0,Alaska,141
AK,2020,October,12 month-ending,Number of Drug Overdose Deaths,134,100,0,Alaska,134
AK,2020,September,12 month-ending,Number of Drug Overdose Deaths,140,100,0,Alaska,140
AK,2021,April,12 month-ending,Number of Drug Overdose Deaths,178,100,0,Alaska,178
AK,2021,August,12 month-ending,Number of Drug Overdose Deaths,218,100,0,Alaska,218
AK,2021,December,12 month-ending,Number of Drug Overdose Deaths,255,100,0,Alaska,255
AK,2021,February,12 month-ending,Number of Drug Overdose Deaths,152,100,0,Alaska,152
AK,2021,January,12 month-ending,Number of Drug Overdose Deaths,145,100,0,Alaska,145
AK,2021,July,12 month-ending,Number of Drug Overdose Deaths,202,100,0,Alaska,202
AK,2021,June,12 month-ending,Number of Drug Overdose Deaths,193,100,0,Alaska,193
AK,2021,March,12 month-ending,Number of Drug Overdose Deaths,171,100,0,Alaska,171
AK,2021,May,12 month-ending,Number of Drug Overdose Deaths,188,100,0,Alaska,188
AK,2021,November,12 month-ending,Number of Drug Overdose Deaths,253,100,0,Alaska,253
AK,2021,October,12 month-ending,Number of Drug Overdose Deaths,238,100,0,Alaska,238
AK,2021,September,12 month-ending,Number of Drug Overdose Deaths,223,100,0,Alaska,223
AK,2022,April,12 month-ending,Number of Drug Overdose Deaths,257,100,0,Alaska,257
AK,2022,August,12 month-ending,Number of Drug Overdose Deaths,249,100,0,Alaska,249
AK,2022,December,12 month-ending,Number of Drug Overdose Deaths,247,100,0,Alaska,247
AK,2022,February,12 month-ending,Number of Drug Overdose Deaths,257,100,0,Alaska,257
AK,2022,January,12 month-ending,Number of Drug Overdose Deaths,253,100,0,Alaska,253
AK,2022,July,12 month-ending,Number of Drug Overdose Deaths,255,100,0,Alaska,255
AK,2022,June,12 month-ending,Number of Drug Overdose Deaths,256,100,0,Alaska,256
AK,2022,March,12 month-ending,Number of Drug Overdose Deaths,257,100,0,Alaska,257
AK,2022,May,12 month-ending,Number of Drug Overdose Deaths,246,100,0,Alaska,246
AK,2022,November,12 month-ending,Number of Drug Overdose Deaths,231,100,0,Alaska,231
AK,2022,October,12 month-ending,Number of Drug Overdose Deaths,240,100,0,Alaska,240
AK,2022,September,12 month-ending,Number of Drug Overdose Deaths,245,100,0,Alaska,245
AK,2023,April,12 month-ending,Number of Drug Overdose Deaths,275,100,0,Alaska,275
AK,2023,August,12 month-ending,Number of Drug Overdose Deaths,298,100,0,Alaska,298
AK,2023,February,12 month-ending,Number of Drug Overdose Deaths,275,100,0,Alaska,275
AK,2023,January,12 month-ending,Number of Drug Overdose Deaths,269,100,0,Alaska,269
AK,2023,July,12 month-ending,Number of Drug Overdose Deaths,289,100,0,Alaska,289
AK,2023,June,12 month-ending,Number of Drug Overdose Deaths,287,100,0,Alaska,287
AK,2023,March,12 month-ending,Number of Drug Overdose Deaths,264,100,0,Alaska,264
AK,2023,May,12 month-ending,Number of Drug Overdose Deaths,288,100,0,Alaska,288
AK,2023,November,12 month-ending,Number of Drug Overdose Deaths,337,100,0,Alaska,337
AK,2023,October,12 month-ending,Number of Drug Overdose Deaths,324,100,0,Alaska,324
AK,2023,September,12 month-ending,Number of Drug Overdose Deaths,319,100,0,Alaska,319
AL,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.316424404,Alabama,764
AL,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100,0.331827999,Alabama,763
AL,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100,0.310595636,Alabama,745
AL,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100,0.323974082,Alabama,749
AL,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100,0.33708092,Alabama,742
AL,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100,0.330441966,Alabama,770
AL,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100,0.341505784,Alabama,785
AL,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100,0.308996553,Alabama,758
AL,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100,0.318710903,Alabama,782
AL,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100,0.293582291,Alabama,748
AL,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100,0.309252119,Alabama,755
AL,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100,0.323250529,Alabama,771
AL,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100,0.279811871,Alabama,697
AL,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100,0.264008196,Alabama,705
AL,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.270265015,Alabama,762
AL,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100,0.282860251,Alabama,732
AL,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100,0.302766454,Alabama,730
AL,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100,0.278199791,Alabama,702
AL,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100,0.264754115,Alabama,693
AL,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100,0.282037022,Alabama,702
AL,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100,0.28310665,Alabama,674
AL,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100,0.275875563,Alabama,740
AL,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100,0.287011736,Alabama,726
AL,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100,0.265695729,Alabama,715
AL,2017,April,12 month-ending,Number of Drug Overdose Deaths,795,100,0.231687068,Alabama,814
AL,2017,August,12 month-ending,Number of Drug Overdose Deaths,808,100,0.184349496,Alabama,823
AL,2017,December,12 month-ending,Number of Drug Overdose Deaths,807,100,0.141472461,Alabama,818
AL,2017,February,12 month-ending,Number of Drug Overdose Deaths,759,100,0.25610182,Alabama,780
AL,2017,January,12 month-ending,Number of Drug Overdose Deaths,763,100,0.259428483,Alabama,784
AL,2017,July,12 month-ending,Number of Drug Overdose Deaths,809,100,0.188334775,Alabama,824
AL,2017,June,12 month-ending,Number of Drug Overdose Deaths,804,100,0.205769231,Alabama,821
AL,2017,March,12 month-ending,Number of Drug Overdose Deaths,794,100,0.25160641,Alabama,815
AL,2017,May,12 month-ending,Number of Drug Overdose Deaths,812,100,0.213695782,Alabama,830
AL,2017,November,12 month-ending,Number of Drug Overdose Deaths,799,100,0.162666973,Alabama,812
AL,2017,October,12 month-ending,Number of Drug Overdose Deaths,801,100,0.158800008,Alabama,813
AL,2017,September,12 month-ending,Number of Drug Overdose Deaths,800,100,0.174222699,Alabama,814
AL,2018,April,12 month-ending,Number of Drug Overdose Deaths,785,100,0.161496282,Alabama,797
AL,2018,August,12 month-ending,Number of Drug Overdose Deaths,745,100,0.207476636,Alabama,761
AL,2018,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.174497148,Alabama,753
AL,2018,February,12 month-ending,Number of Drug Overdose Deaths,799,100,0.152024174,Alabama,811
AL,2018,January,12 month-ending,Number of Drug Overdose Deaths,785,100,0.150636439,Alabama,796
AL,2018,July,12 month-ending,Number of Drug Overdose Deaths,759,100,0.207561988,Alabama,775
AL,2018,June,12 month-ending,Number of Drug Overdose Deaths,764,100,0.191100703,Alabama,779
AL,2018,March,12 month-ending,Number of Drug Overdose Deaths,785,100,0.154048469,Alabama,797
AL,2018,May,12 month-ending,Number of Drug Overdose Deaths,787,100,0.180146369,Alabama,801
AL,2018,November,12 month-ending,Number of Drug Overdose Deaths,744,100,0.17047264,Alabama,756
AL,2018,October,12 month-ending,Number of Drug Overdose Deaths,751,100,0.192862225,Alabama,766
AL,2018,September,12 month-ending,Number of Drug Overdose Deaths,754,100,0.206054248,Alabama,770
AL,2019,April,12 month-ending,Number of Drug Overdose Deaths,699,100,0.184494827,Alabama,712
AL,2019,August,12 month-ending,Number of Drug Overdose Deaths,731,100,0.17727487,Alabama,744
AL,2019,December,12 month-ending,Number of Drug Overdose Deaths,739,100,0.219883481,Alabama,756
AL,2019,February,12 month-ending,Number of Drug Overdose Deaths,703,100,0.169743668,Alabama,715
AL,2019,January,12 month-ending,Number of Drug Overdose Deaths,724,100,0.169414094,Alabama,736
AL,2019,July,12 month-ending,Number of Drug Overdose Deaths,715,100,0.164464357,Alabama,726
AL,2019,June,12 month-ending,Number of Drug Overdose Deaths,720,100,0.179975372,Alabama,733
AL,2019,March,12 month-ending,Number of Drug Overdose Deaths,701,100,0.175134682,Alabama,713
AL,2019,May,12 month-ending,Number of Drug Overdose Deaths,699,100,0.184067707,Alabama,712
AL,2019,November,12 month-ending,Number of Drug Overdose Deaths,750,100,0.214257523,Alabama,767
AL,2019,October,12 month-ending,Number of Drug Overdose Deaths,743,100,0.203497136,Alabama,758
AL,2019,September,12 month-ending,Number of Drug Overdose Deaths,719,100,0.192231583,Alabama,733
AL,2020,April,12 month-ending,Number of Drug Overdose Deaths,826,100,0.211095474,Alabama,844
AL,2020,August,12 month-ending,Number of Drug Overdose Deaths,934,100,0.203140063,Alabama,953
AL,2020,December,12 month-ending,Number of Drug Overdose Deaths,989,100,0.217796155,Alabama,1011
AL,2020,February,12 month-ending,Number of Drug Overdose Deaths,772,100,0.224626558,Alabama,790
AL,2020,January,12 month-ending,Number of Drug Overdose Deaths,754,100,0.216458365,Alabama,771
AL,2020,July,12 month-ending,Number of Drug Overdose Deaths,919,100,0.213637487,Alabama,939
AL,2020,June,12 month-ending,Number of Drug Overdose Deaths,902,100,0.204343659,Alabama,921
AL,2020,March,12 month-ending,Number of Drug Overdose Deaths,791,100,0.216810272,Alabama,809
AL,2020,May,12 month-ending,Number of Drug Overdose Deaths,879,100,0.2013214,Alabama,897
AL,2020,November,12 month-ending,Number of Drug Overdose Deaths,960,100,0.221021611,Alabama,982
AL,2020,October,12 month-ending,Number of Drug Overdose Deaths,946,100,0.198402774,Alabama,965
AL,2020,September,12 month-ending,Number of Drug Overdose Deaths,952,100,0.19806338,Alabama,971
AL,2021,April,12 month-ending,Number of Drug Overdose Deaths,1124,100,0.184376659,Alabama,1144
AL,2021,August,12 month-ending,Number of Drug Overdose Deaths,1193,100,0.145217456,Alabama,1209
AL,2021,December,12 month-ending,Number of Drug Overdose Deaths,1333,100,0.098034847,Alabama,1343
AL,2021,February,12 month-ending,Number of Drug Overdose Deaths,1047,100,0.195900922,Alabama,1068
AL,2021,January,12 month-ending,Number of Drug Overdose Deaths,1032,100,0.210672044,Alabama,1054
AL,2021,July,12 month-ending,Number of Drug Overdose Deaths,1165,100,0.151663038,Alabama,1181
AL,2021,June,12 month-ending,Number of Drug Overdose Deaths,1138,100,0.164703089,Alabama,1156
AL,2021,March,12 month-ending,Number of Drug Overdose Deaths,1091,100,0.19349788,Alabama,1112
AL,2021,May,12 month-ending,Number of Drug Overdose Deaths,1123,100,0.180478712,Alabama,1143
AL,2021,November,12 month-ending,Number of Drug Overdose Deaths,1308,100,0.108656284,Alabama,1320
AL,2021,October,12 month-ending,Number of Drug Overdose Deaths,1295,100,0.133732133,Alabama,1310
AL,2021,September,12 month-ending,Number of Drug Overdose Deaths,1247,100,0.140293024,Alabama,1263
AL,2022,April,12 month-ending,Number of Drug Overdose Deaths,1345,100,0.134597644,Alabama,1361
AL,2022,August,12 month-ending,Number of Drug Overdose Deaths,1412,100,0.187905171,Alabama,1438
AL,2022,December,12 month-ending,Number of Drug Overdose Deaths,1452,100,0.237211052,Alabama,1488
AL,2022,February,12 month-ending,Number of Drug Overdose Deaths,1369,100,0.114102121,Alabama,1382
AL,2022,January,12 month-ending,Number of Drug Overdose Deaths,1331,100,0.101213046,Alabama,1342
AL,2022,July,12 month-ending,Number of Drug Overdose Deaths,1394,100,0.17200962,Alabama,1417
AL,2022,June,12 month-ending,Number of Drug Overdose Deaths,1355,100,0.155140158,Alabama,1375
AL,2022,March,12 month-ending,Number of Drug Overdose Deaths,1352,100,0.118723794,Alabama,1366
AL,2022,May,12 month-ending,Number of Drug Overdose Deaths,1356,100,0.14128156,Alabama,1373
AL,2022,November,12 month-ending,Number of Drug Overdose Deaths,1454,100,0.233950658,Alabama,1489
AL,2022,October,12 month-ending,Number of Drug Overdose Deaths,1435,100,0.207309708,Alabama,1465
AL,2022,September,12 month-ending,Number of Drug Overdose Deaths,1410,100,0.192590914,Alabama,1437
AL,2023,April,12 month-ending,Number of Drug Overdose Deaths,1531,100,0.23863094,Alabama,1570
AL,2023,August,12 month-ending,Number of Drug Overdose Deaths,1578,100,0.236752908,Alabama,1620
AL,2023,February,12 month-ending,Number of Drug Overdose Deaths,1504,100,0.240556864,Alabama,1539
AL,2023,January,12 month-ending,Number of Drug Overdose Deaths,1494,100,0.245831731,Alabama,1524
AL,2023,July,12 month-ending,Number of Drug Overdose Deaths,1593,100,0.238504915,Alabama,1636
AL,2023,June,12 month-ending,Number of Drug Overdose Deaths,1583,100,0.234697869,Alabama,1622
AL,2023,March,12 month-ending,Number of Drug Overdose Deaths,1534,100,0.244148128,Alabama,1575
AL,2023,May,12 month-ending,Number of Drug Overdose Deaths,1558,100,0.239055983,Alabama,1600
AL,2023,November,12 month-ending,Number of Drug Overdose Deaths,1558,100,0.25007761,Alabama,1598
AL,2023,October,12 month-ending,Number of Drug Overdose Deaths,1550,100,0.240587032,Alabama,1591
AL,2023,September,12 month-ending,Number of Drug Overdose Deaths,1563,100,0.23896494,Alabama,1603
AR,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0.039416634,Arkansas,374
AR,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100,0.048568838,Arkansas,399
AR,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100,0.070999806,Arkansas,383
AR,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100,0.046155875,Arkansas,367
AR,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100,0.04979749,Arkansas,367
AR,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0.048883819,Arkansas,396
AR,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100,0.042314953,Arkansas,392
AR,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100,0.046072334,Arkansas,386
AR,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0.042480884,Arkansas,384
AR,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100,0.061276486,Arkansas,391
AR,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100,0.058036434,Arkansas,398
AR,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100,0.061427047,Arkansas,394
AR,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100,0.078716914,Arkansas,374
AR,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100,0.078719496,Arkansas,385
AR,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100,0.0709037,Arkansas,388
AR,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100,0.072337487,Arkansas,381
AR,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100,0.07183908,Arkansas,380
AR,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100,0.07518797,Arkansas,380
AR,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100,0.078859171,Arkansas,371
AR,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100,0.075605667,Arkansas,365
AR,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100,0.07904878,Arkansas,378
AR,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100,0.074925889,Arkansas,380
AR,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100,0.075437043,Arkansas,374
AR,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100,0.068762279,Arkansas,381
AR,2017,April,12 month-ending,Number of Drug Overdose Deaths,386,100,0.076476961,Arkansas,388
AR,2017,August,12 month-ending,Number of Drug Overdose Deaths,406,100,0.069629067,Arkansas,408
AR,2017,December,12 month-ending,Number of Drug Overdose Deaths,425,100,0.056562863,Arkansas,426
AR,2017,February,12 month-ending,Number of Drug Overdose Deaths,380,100,0.083451021,Arkansas,383
AR,2017,January,12 month-ending,Number of Drug Overdose Deaths,384,100,0.073924083,Arkansas,386
AR,2017,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0.076069731,Arkansas,397
AR,2017,June,12 month-ending,Number of Drug Overdose Deaths,398,100,0.076057677,Arkansas,400
AR,2017,March,12 month-ending,Number of Drug Overdose Deaths,384,100,0.076655275,Arkansas,386
AR,2017,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0.079375159,Arkansas,385
AR,2017,November,12 month-ending,Number of Drug Overdose Deaths,411,100,0.075819802,Arkansas,413
AR,2017,October,12 month-ending,Number of Drug Overdose Deaths,410,100,0.069348128,Arkansas,412
AR,2017,September,12 month-ending,Number of Drug Overdose Deaths,413,100,0.07251403,Arkansas,415
AR,2018,April,12 month-ending,Number of Drug Overdose Deaths,425,100,0.046791652,Arkansas,426
AR,2018,August,12 month-ending,Number of Drug Overdose Deaths,455,100,0.049982818,Arkansas,456
AR,2018,December,12 month-ending,Number of Drug Overdose Deaths,433,100,0.065992081,Arkansas,435
AR,2018,February,12 month-ending,Number of Drug Overdose Deaths,424,100,0.043212544,Arkansas,425
AR,2018,January,12 month-ending,Number of Drug Overdose Deaths,427,100,0.052644618,Arkansas,428
AR,2018,July,12 month-ending,Number of Drug Overdose Deaths,451,100,0.0436872,Arkansas,452
AR,2018,June,12 month-ending,Number of Drug Overdose Deaths,447,100,0.043635457,Arkansas,448
AR,2018,March,12 month-ending,Number of Drug Overdose Deaths,430,100,0.046586745,Arkansas,431
AR,2018,May,12 month-ending,Number of Drug Overdose Deaths,443,100,0.04358655,Arkansas,444
AR,2018,November,12 month-ending,Number of Drug Overdose Deaths,446,100,0.043577054,Arkansas,447
AR,2018,October,12 month-ending,Number of Drug Overdose Deaths,457,100,0.046807714,Arkansas,458
AR,2018,September,12 month-ending,Number of Drug Overdose Deaths,448,100,0.046933667,Arkansas,449
AR,2019,April,12 month-ending,Number of Drug Overdose Deaths,434,100,0.068685607,Arkansas,436
AR,2019,August,12 month-ending,Number of Drug Overdose Deaths,355,100,0.059219549,Arkansas,356
AR,2019,December,12 month-ending,Number of Drug Overdose Deaths,362,100,0.043318172,Arkansas,363
AR,2019,February,12 month-ending,Number of Drug Overdose Deaths,451,100,0.069765967,Arkansas,453
AR,2019,January,12 month-ending,Number of Drug Overdose Deaths,439,100,0.066764164,Arkansas,441
AR,2019,July,12 month-ending,Number of Drug Overdose Deaths,381,100,0.062492188,Arkansas,383
AR,2019,June,12 month-ending,Number of Drug Overdose Deaths,395,100,0.068762893,Arkansas,397
AR,2019,March,12 month-ending,Number of Drug Overdose Deaths,437,100,0.065911302,Arkansas,439
AR,2019,May,12 month-ending,Number of Drug Overdose Deaths,411,100,0.065639359,Arkansas,413
AR,2019,November,12 month-ending,Number of Drug Overdose Deaths,363,100,0.052687039,Arkansas,364
AR,2019,October,12 month-ending,Number of Drug Overdose Deaths,357,100,0.056004978,Arkansas,358
AR,2019,September,12 month-ending,Number of Drug Overdose Deaths,354,100,0.059143969,Arkansas,355
AR,2020,April,12 month-ending,Number of Drug Overdose Deaths,402,100,0.034062055,Arkansas,402
AR,2020,August,12 month-ending,Number of Drug Overdose Deaths,481,100,0.026348147,Arkansas,481
AR,2020,December,12 month-ending,Number of Drug Overdose Deaths,514,100,0.002644104,Arkansas,514
AR,2020,February,12 month-ending,Number of Drug Overdose Deaths,370,100,0.040107364,Arkansas,371
AR,2020,January,12 month-ending,Number of Drug Overdose Deaths,367,100,0.043299415,Arkansas,368
AR,2020,July,12 month-ending,Number of Drug Overdose Deaths,460,100,0.029933846,Arkansas,460
AR,2020,June,12 month-ending,Number of Drug Overdose Deaths,435,100,0.030427506,Arkansas,435
AR,2020,March,12 month-ending,Number of Drug Overdose Deaths,384,100,0.040290089,Arkansas,385
AR,2020,May,12 month-ending,Number of Drug Overdose Deaths,416,100,0.033920257,Arkansas,416
AR,2020,November,12 month-ending,Number of Drug Overdose Deaths,506,100,0.013667924,Arkansas,506
AR,2020,October,12 month-ending,Number of Drug Overdose Deaths,498,100,0.019628186,Arkansas,498
AR,2020,September,12 month-ending,Number of Drug Overdose Deaths,492,100,0.022966727,Arkansas,492
AR,2021,April,12 month-ending,Number of Drug Overdose Deaths,542,100,0.002514016,Arkansas,542
AR,2021,August,12 month-ending,Number of Drug Overdose Deaths,570,100,0,Arkansas,570
AR,2021,December,12 month-ending,Number of Drug Overdose Deaths,627,100,0,Arkansas,627
AR,2021,February,12 month-ending,Number of Drug Overdose Deaths,525,100,0.002532158,Arkansas,525
AR,2021,January,12 month-ending,Number of Drug Overdose Deaths,513,100,0.002558985,Arkansas,513
AR,2021,July,12 month-ending,Number of Drug Overdose Deaths,553,100,0,Arkansas,553
AR,2021,June,12 month-ending,Number of Drug Overdose Deaths,564,100,0,Arkansas,564
AR,2021,March,12 month-ending,Number of Drug Overdose Deaths,536,100,0.00251959,Arkansas,536
AR,2021,May,12 month-ending,Number of Drug Overdose Deaths,560,100,0.002500313,Arkansas,560
AR,2021,November,12 month-ending,Number of Drug Overdose Deaths,607,100,0,Arkansas,607
AR,2021,October,12 month-ending,Number of Drug Overdose Deaths,593,100,0,Arkansas,593
AR,2021,September,12 month-ending,Number of Drug Overdose Deaths,585,100,0,Arkansas,585
AR,2022,April,12 month-ending,Number of Drug Overdose Deaths,636,100,0,Arkansas,636
AR,2022,August,12 month-ending,Number of Drug Overdose Deaths,628,100,0,Arkansas,628
AR,2022,December,12 month-ending,Number of Drug Overdose Deaths,591,100,0.007972362,Arkansas,591
